iter	Passed	Remaining
399	57440	86161
400	57574	86002
401	57731	85879
402	57905	85780
403	58077	85678
404	58224	85539
405	58363	85388
406	58500	85234
407	58627	85067
408	58748	84891
409	58868	84713
410	59009	84565
411	59137	84400
412	59268	84238
413	59405	84086
414	59540	83930
415	59668	83765
416	59808	83616
417	59946	83466
418	60079	83308
419	60205	83141
420	60410	83082
421	60560	82948
422	60701	82800
423	60843	82655
424	60984	82508
425	61113	82345
426	61238	82177
427	61427	82094
428	61580	81964
429	61741	81842
430	61878	81691
431	62013	81535
432	62141	81372
433	62280	81223
434	62495	81172
435	62638	81027
436	62767	80865
437	62905	80714
438	63053	80576
439	63186	80419
440	63329	80275
441	63483	80143
442	63627	80000
443	63775	79863
444	63911	79709
445	64050	79560
446	64176	79395
447	64309	79239
448	64428	79064
449	64561	78908
450	64702	78762
451	64842	78613
452	64985	78469
453	65118	78314
454	65274	78185
455	65409	78032
456	65547	77883
457	65676	77722
458	65827	77587
459	65950	77420
460	66095	77278
461	66247	77145
462	66371	76979
463	66510	76831
464	66648	76681
465	66786	76531
466	66915	76372
467	67069	76241
468	67187	76069
469	67342	75939
470	67484	75795
471	67644	75669
472	67799	75539
473	67967	75423
474	68121	75291
475	68275	75160
476	68408	75005
477	68542	74851
478	68666	74687
479	68814	74549
480	68966	74414
481	69097	74258
482	69247	74121
483	69392	73980
484	69525	73826
485	69666	73680
486	69815	73543
487	69948	73388
488	70087	73241
489	70206	73072
490	70408	72989
491	70543	72837
492	70679	72686
493	70808	72528
494	70940	72374
495	71092	72238
496	71228	72088
497	71397	71970
498	71546	71833
499	71668	71668
500	71810	71523
501	71986	71413
502	72145	71285
503	72291	71144
504	72477	71042
505	72666	70943
506	72801	70791
507	72954	70656
508	73094	70509
509	73234	70362
510	73413	70252
511	73548	70101
512	73692	69957
513	73835	69813
514	74000	69689
515	74143	69545
516	74297	69411
517	74448	69274
518	74578	69117
519	74706	68959
520	74847	68813
521	74993	68671
522	75143	68534
523	75281	68385
524	75430	68246
525	75563	68093
526	75742	67981
527	75888	67839
528	76035	67698
529	76184	67559
530	76334	67421
531	76468	67269
532	76629	67140
533	76765	66990
534	76893	66832
535	77041	66692
536	77182	66546
537	77328	66404
538	77454	66245
539	77571	66079
540	77696	65920
541	77850	65785
542	78023	65666
543	78155	65513
544	78304	65373
545	78474	65251
546	78655	65139
547	78807	65002
548	78947	64854
549	79096	64715
550	79246	64576
551	79393	64435
552	79529	64285
553	79671	64139
554	79810	63992
555	79947	63843
556	80092	63700
557	80253	63570
558	80473	63486
559	80628	63351
560	80751	63190
561	80889	63042
562	81017	62885
563	81160	62740
564	81317	62606
565	81457	62460
566	81579	62300
567	81723	62155
568	81862	62008
569	82002	61861
570	82148	61719
571	82284	61569
572	82442	61436
573	82596	61300
574	82738	61154
575	82876	61006
576	83015	60858
577	83156	60713
578	83298	60567
579	83438	60421
580	83571	60268
581	83704	60117
582	83837	59966
583	83985	59825
584	84121	59675
585	84247	59519
586	84423	59398
587	84590	59270
588	84730	59124
589	84856	58968
590	84998	58823
591	85155	58688
592	85307	58549
593	85437	58396
594	85592	58260
595	85741	58120
596	85913	57995
597	86061	57854
598	86186	57697
599	86324	57549
600	86480	57414
601	86665	57296
602	86831	57167
603	86985	57030
604	87176	56916
605	87353	56793
606	87487	56643
607	87653	56513
608	87819	56383
609	87977	56247
610	88117	56101
611	88269	55961
612	88423	55823
613	88586	55690
614	88732	55548
615	88897	55416
616	89054	55280
617	89209	55142
618	89351	54996
619	89462	54831
620	89584	54673
621	89738	54535
622	89871	54384
623	90020	54243
624	90169	54101
625	90461	54045
626	90587	53889
627	90715	53735
628	90857	53589
629	91034	53464
630	91244	53358
631	91521	53290
632	91739	53188
633	91944	53078
634	92100	52939
635	92287	52818
636	92846	52909
637	93316	52947
