iter	Logloss
0	0.4453930344
1	0.3238803201
2	0.260712796
3	0.2277432078
4	0.1912306235
5	0.1687849912
6	0.1586140244
7	0.1469429082
8	0.1420849702
9	0.1336304463
10	0.126575011
11	0.1143159502
12	0.1113582579
13	0.10943789
14	0.1067792329
15	0.1059848273
16	0.1040661496
17	0.1004620098
18	0.09846909836
19	0.09513953629
20	0.0935754631
21	0.09128891274
22	0.08749499752
23	0.08674339534
24	0.08621652513
25	0.08517461126
26	0.08322721071
27	0.08274989615
28	0.08142324327
29	0.08089158483
30	0.08038117805
31	0.07973945899
32	0.07792321647
33	0.07720123503
34	0.07392576399
35	0.07337530218
36	0.07232747991
37	0.07206165948
38	0.07188805487
39	0.07147282466
40	0.07108308342
41	0.07053347183
42	0.07016521358
43	0.06922711357
44	0.06868627221
45	0.06843318692
46	0.0678926702
47	0.06751744743
48	0.06641666829
49	0.06495768557
50	0.06480561976
51	0.06440501432
52	0.06379309445
53	0.0630272712
54	0.06236593382
55	0.06187293908
56	0.06158750033
57	0.06132971489
58	0.06088430467
59	0.06055514173
60	0.06011962401
61	0.05968211261
62	0.05930149805
63	0.05913737769
64	0.05809855815
65	0.05787886073
66	0.05753795205
67	0.0571647826
68	0.05666909473
69	0.05453831854
70	0.05393080444
71	0.05374084628
72	0.05349468185
73	0.05280623087
74	0.05257623039
75	0.05233432112
76	0.05201391833
77	0.05116013078
78	0.05094911793
79	0.05058372222
80	0.05004612901
81	0.04983033486
82	0.0495178894
83	0.04922174795
84	0.04889745801
85	0.04856435521
86	0.04838450551
87	0.04809667348
88	0.04753646056
89	0.04736836345
90	0.04714069433
91	0.04620485017
92	0.04594004214
93	0.04577697493
94	0.04562265544
95	0.04533133521
96	0.04512779831
97	0.0449547504
98	0.04469140577
99	0.04449118782
100	0.04431153399
101	0.04419230223
102	0.04408507846
103	0.04379647281
104	0.04361290018
105	0.04342407129
106	0.04329244211
107	0.04276041271
108	0.04245081322
109	0.04224069922
110	0.04205961883
111	0.04190135788
112	0.04073768349
113	0.04056791911
114	0.04033295784
115	0.04015748766
116	0.03963525959
117	0.0392961581
118	0.03913983533
119	0.03894035515
120	0.03878052536
121	0.03849018299
122	0.03839250429
123	0.03813820431
124	0.03803870644
125	0.03786188349
126	0.03769628075
127	0.03757927785
128	0.03747511191
129	0.03735898998
130	0.03614531462
131	0.03596389043
132	0.03574670439
133	0.03557168493
134	0.03537762056
135	0.03526673083
136	0.03512544363
137	0.03506028894
138	0.03482149166
139	0.03474334821
140	0.03454915779
141	0.03426418278
142	0.03403532087
143	0.03392757115
144	0.03379158762
145	0.03347673384
146	0.03300994895
147	0.03286351432
148	0.03272288625
149	0.03225799023
150	0.03200014535
151	0.03186989198
152	0.03163930204
153	0.03127117723
154	0.03110920988
155	0.03104390663
156	0.03094163231
157	0.03071454565
158	0.03063567273
159	0.03053590467
160	0.0303974158
161	0.03026364713
162	0.03017887973
163	0.03009546519
164	0.02999596732
165	0.02990845884
166	0.02985998845
167	0.02975672807
168	0.02965087187
169	0.02951608259
170	0.02935187172
171	0.02924482465
172	0.02912650425
173	0.02903262416
174	0.02891499658
175	0.02880521394
176	0.02866978117
177	0.02860575551
178	0.02848704801
179	0.0283400786
180	0.02827316916
181	0.02804099778
182	0.02782410348
183	0.02776347979
184	0.02767016125
185	0.02740655008
186	0.02726195635
187	0.02718294834
188	0.02703501435
189	0.02689890174
190	0.02681092851
191	0.02665519707
192	0.02657663088
193	0.02644471781
194	0.02630945004
195	0.02624087186
196	0.02614575917
197	0.02602327269
198	0.02590607632
199	0.02578404186
200	0.02568672885
201	0.02559217564
202	0.02554934087
203	0.02551528409
204	0.0254051815
205	0.02516389009
206	0.02502877678
207	0.02490393504
208	0.02485536265
209	0.02479066574
210	0.02472050879
211	0.02454377887
212	0.02444396255
213	0.02435279746
214	0.02414054688
215	0.02407228851
216	0.02400328888
217	0.02389894748
218	0.02385575001
219	0.02375270711
220	0.02368390037
221	0.02357337017
222	0.02340978283
223	0.02328823636
224	0.02317439554
225	0.02310347451
226	0.02303022858
227	0.02297567293
228	0.02284870804
229	0.02272917129
230	0.02268219747
231	0.02262165135
232	0.02253754722
233	0.02247234171
234	0.02240064358
235	0.02232302894
236	0.02224111496
237	0.02217445035
238	0.02207396532
239	0.02201354949
240	0.02193109654
241	0.02179262653
242	0.02150766316
243	0.02143458096
244	0.02137842603
245	0.02133401149
246	0.02127652219
247	0.02122245637
248	0.02116794519
249	0.02111222469
250	0.02105440883
251	0.02098899795
252	0.02092694293
253	0.02083620203
254	0.02076235575
255	0.02072174376
256	0.02062678078
257	0.02054116875
258	0.02046571915
259	0.0204310191
260	0.02031501773
261	0.02015231163
262	0.02010227739
263	0.02003142125
264	0.01994002676
265	0.0198819953
266	0.01983125982
267	0.01974060064
268	0.01963072452
269	0.01958534366
270	0.01950003682
271	0.01944123617
272	0.01938435834
273	0.01932024071
274	0.01926776255
275	0.01920433347
276	0.01916738018
